country,deaths per million,Long,Lat
Seychelles,6089,55.492,-3.2796
Syrian Arab Republic,3022,36.19,33.3
Chad,12544,18.7322,16.8542
Togo,9163,0.8248,10.0195
Thailand,7271,100.992541,17.270032
Tajikistan,5824,71.2761,40.261
Turkmenistan,6127,58.24,37.58
Timor-Leste,5373,125.727539,-7.474217
Tonga,6833,-175.12,-21.8
Trinidad and Tobago,8110,-61.2225,12.0918
Tunisia,4807,9.537499,35.286917
Turkey,4991,35.2433,40.3637
Taiwan,6609,121.56,25.03
"Tanzania, United Republic of",8538,35.45,-6.11
Uganda,8333,32.290275,2.773333
Ukraine,15393,30.5234,51.8501
Uruguay,9553,-55.7658,-31.1228
United States,8692,-77.02,38.53
Uzbekistan,6430,64.585262,42.777491
Saint Vincent and the Grenadines,6804,-61.2872,14.3843
Venezuela,5005,-66.5897,7.8238
Viet Nam,5021,105.53,21.01
Vanuatu,7345,166.9592,-13.9767
Samoa,6016,-172.1046,-12.359
Yemen,6074,48.516388,16.952727
South Africa,10274,22.9375,-29.1595
Zambia,11244,27.849332,-11.733897
Zimbabwe,12649,29.154857,-17.615438
