date,total cases and total deaths (M),Symbol
2020/8/23,15137916.0,total recovered
2020/8/24,23655997.0,total cases
2020/8/24,813597.0,total deaths
2020/8/24,15337337.0,total recovered
2020/8/25,23899722.0,total cases
2020/8/25,819861.0,total deaths
2020/8/25,15568886.0,total recovered
2020/8/26,24183850.0,total cases
2020/8/26,826152.0,total deaths
2020/8/26,15794620.0,total recovered
2020/8/27,24467592.0,total cases
2020/8/27,832035.0,total deaths
2020/8/27,16001857.0,total recovered
2020/8/28,24751260.0,total cases
2020/8/28,837541.0,total deaths
2020/8/28,16200975.0,total recovered
2020/8/29,25017791.0,total cases
2020/8/29,842810.0,total deaths
2020/8/29,16412388.0,total recovered
2020/8/30,25239068.0,total cases
2020/8/30,846844.0,total deaths
2020/8/30,16622628.0,total recovered
2020/8/31,25501715.0,total cases
2020/8/31,851062.0,total deaths
2020/8/31,16823418.0,total recovered
2020/9/1,25766467.0,total cases
2020/9/1,857499.0,total deaths
2020/9/1,17081380.0,total recovered
2020/9/2,26049992.0,total cases
2020/9/2,863577.0,total deaths
2020/9/2,17300617.0,total recovered
2020/9/3,26331039.0,total cases
2020/9/3,869282.0,total deaths
2020/9/3,17521986.0,total recovered
2020/9/4,26644864.0,total cases
2020/9/4,875156.0,total deaths
2020/9/4,17735487.0,total recovered
2020/9/5,26914845.0,total cases
2020/9/5,880106.0,total deaths
2020/9/5,17936475.0,total recovered
2020/9/6,27145595.0,total cases
2020/9/6,883895.0,total deaths
2020/9/6,18148266.0,total recovered
2020/9/7,27363369.0,total cases
2020/9/7,893253.0,total deaths
2020/9/7,18345814.0,total recovered
2020/9/8,27605220.0,total cases
2020/9/8,898164.0,total deaths
2020/9/8,18547611.0,total recovered
2020/9/9,27889943.0,total cases
2020/9/9,904263.0,total deaths
2020/9/9,18787878.0,total recovered
2020/9/10,28189890.0,total cases
2020/9/10,910065.0,total deaths
2020/9/10,19004539.0,total recovered
2020/9/11,28510977.0,total cases
2020/9/11,915946.0,total deaths
2020/9/11,19228209.0,total recovered
2020/9/12,28797456.0,total cases
2020/9/12,920846.0,total deaths
2020/9/12,19451143.0,total recovered
2020/9/13,29040262.0,total cases
2020/9/13,924517.0,total deaths
2020/9/13,19638991.0,total recovered
2020/9/14,29303533.0,total cases
2020/9/14,928933.0,total deaths
2020/9/14,19867490.0,total recovered
2020/9/15,29588876.0,total cases
2020/9/15,935455.0,total deaths
2020/9/15,20093777.0,total recovered
2020/9/16,29892950.0,total cases
2020/9/16,941261.0,total deaths
2020/9/16,20323254.0,total recovered
2020/9/17,30207772.0,total cases
2020/9/17,946732.0,total deaths
2020/9/17,20543465.0,total recovered
2020/9/18,30533416.0,total cases
2020/9/18,952422.0,total deaths
2020/9/18,20794614.0,total recovered
2020/9/19,30825596.0,total cases
2020/9/19,957683.0,total deaths
2020/9/19,21031599.0,total recovered
2020/9/20,31077672.0,total cases
2020/9/20,961408.0,total deaths
2020/9/20,21268676.0,total recovered
2020/9/21,31353490.0,total cases
2020/9/21,965503.0,total deaths
2020/9/21,21514154.0,total recovered
2020/9/22,31637545.0,total cases
2020/9/22,971459.0,total deaths
2020/9/22,21733547.0,total recovered
2020/9/23,31912900.0,total cases
2020/9/23,977093.0,total deaths
2020/9/23,21996960.0,total recovered
2020/9/24,32265204.0,total cases
2020/9/24,983764.0,total deaths
2020/9/24,22252630.0,total recovered
2020/9/25,32595593.0,total cases
2020/9/25,989651.0,total deaths
2020/9/25,22491838.0,total recovered
2020/9/26,32883719.0,total cases
2020/9/26,994981.0,total deaths
2020/9/26,22753981.0,total recovered
2020/9/27,33135284.0,total cases
2020/9/27,998642.0,total deaths
2020/9/27,22967860.0,total recovered
2020/9/28,33389254.0,total cases
2020/9/28,1002584.0,total deaths
2020/9/28,23190402.0,total recovered
2020/9/29,33671083.0,total cases
2020/9/29,1008546.0,total deaths
2020/9/29,23431686.0,total recovered
2020/9/30,33999210.0,total cases
2020/9/30,1014974.0,total deaths
2020/9/30,23679904.0,total recovered
2020/10/1,34317276.0,total cases
2020/10/1,1023674.0,total deaths
2020/10/1,23901446.0,total recovered
2020/10/2,34614672.0,total cases
2020/10/2,1028677.0,total deaths
2020/10/2,24073731.0,total recovered
2020/10/3,34946710.0,total cases
2020/10/3,1034044.0,total deaths
2020/10/3,24329332.0,total recovered
2020/10/4,35208617.0,total cases
2020/10/4,1037856.0,total deaths
2020/10/4,24551491.0,total recovered
2020/10/5,35509247.0,total cases
2020/10/5,1044776.0,total deaths
2020/10/5,24788959.0,total recovered
2020/10/6,35835120.0,total cases
2020/10/6,1050567.0,total deaths
2020/10/6,25021585.0,total recovered
2020/10/7,36185785.0,total cases
2020/10/7,1056399.0,total deaths
2020/10/7,25276776.0,total recovered
2020/10/8,36547071.0,total cases
2020/10/8,1062656.0,total deaths
2020/10/8,25496282.0,total recovered
2020/10/9,36907485.0,total cases
2020/10/9,1068813.0,total deaths
2020/10/9,25703072.0,total recovered
2020/10/10,37264050.0,total cases
2020/10/10,1073669.0,total deaths
2020/10/10,25898477.0,total recovered
2020/10/11,37551609.0,total cases
2020/10/11,1077647.0,total deaths
2020/10/11,26121117.0,total recovered
2020/10/12,37842739.0,total cases
2020/10/12,1081588.0,total deaths
2020/10/12,26321236.0,total recovered
2020/10/13,38161563.0,total cases
2020/10/13,1086862.0,total deaths
2020/10/13,26513681.0,total recovered
2020/10/14,38543448.0,total cases
2020/10/14,1092921.0,total deaths
2020/10/14,26725966.0,total recovered
2020/10/15,38950083.0,total cases
2020/10/15,1099017.0,total deaths
2020/10/15,26933293.0,total recovered
2020/10/16,39361310.0,total cases
2020/10/16,1105159.0,total deaths
2020/10/16,27136307.0,total recovered
2020/10/17,39733921.0,total cases
2020/10/17,1110742.0,total deaths
2020/10/17,27334590.0,total recovered
2020/10/18,40050552.0,total cases
2020/10/18,1114244.0,total deaths
2020/10/18,27536101.0,total recovered
2020/10/19,40436980.0,total cases
2020/10/19,1119042.0,total deaths
