date,Total cases and total deaths (M),Symbol
2020/4/1,50344,total deaths
2020/4/1,193076,total recovered
2020/4/2,1041662,total cases
2020/4/2,56197,total deaths
2020/4/2,210219,total recovered
2020/4/3,1125086,total cases
2020/4/3,62319,total deaths
2020/4/3,225641,total recovered
2020/4/4,1183501,total cases
2020/4/4,68490,total deaths
2020/4/4,246053,total recovered
2020/4/5,1256089,total cases
2020/4/5,73673,total deaths
2020/4/5,259889,total recovered
2020/4/6,1329228,total cases
2020/4/6,79599,total deaths
2020/4/6,276598,total recovered
2020/4/7,1399055,total cases
2020/4/7,87833,total deaths
2020/4/7,299860,total recovered
2020/4/8,1482433,total cases
2020/4/8,94581,total deaths
2020/4/8,328742,total recovered
2020/4/9,1569454,total cases
2020/4/9,102328,total deaths
2020/4/9,353996,total recovered
2020/4/10,1654968,total cases
2020/4/10,109717,total deaths
2020/4/10,375734,total recovered
2020/4/11,1729309,total cases
2020/4/11,115956,total deaths
2020/4/11,401984,total recovered
2020/4/12,1849041,total cases
2020/4/12,121783,total deaths
2020/4/12,421367,total recovered
2020/4/13,1919797,total cases
2020/4/13,127705,total deaths
2020/4/13,448624,total recovered
2020/4/14,2003732,total cases
2020/4/14,134675,total deaths
2020/4/14,473698,total recovered
2020/4/15,2080830,total cases
2020/4/15,143023,total deaths
2020/4/15,510237,total recovered
2020/4/16,2176408,total cases
2020/4/16,150302,total deaths
2020/4/16,541120,total recovered
2020/4/17,2264120,total cases
2020/4/17,158662,total deaths
2020/4/17,567304,total recovered
2020/4/18,2341473,total cases
2020/4/18,164686,total deaths
2020/4/18,591170,total recovered
2020/4/19,2418166,total cases
2020/4/19,169946,total deaths
2020/4/19,622953,total recovered
2020/4/20,2494115,total cases
2020/4/20,175822,total deaths
2020/4/20,645131,total recovered
2020/4/21,2569728,total cases
2020/4/21,183003,total deaths
2020/4/21,679933,total recovered
2020/4/22,2650749,total cases
2020/4/22,189721,total deaths
2020/4/22,710018,total recovered
2020/4/23,2735103,total cases
2020/4/23,196546,total deaths
2020/4/23,738748,total recovered
2020/4/24,2819191,total cases
2020/4/24,203214,total deaths
2020/4/24,788777,total recovered
2020/4/25,2901458,total cases
2020/4/25,208851,total deaths
2020/4/25,816532,total recovered
2020/4/26,2973163,total cases
2020/4/26,212802,total deaths
2020/4/26,845344,total recovered
2020/4/27,3043202,total cases
2020/4/27,217472,total deaths
2020/4/27,873228,total recovered
2020/4/28,3118508,total cases
2020/4/28,224001,total deaths
2020/4/28,906440,total recovered
2020/4/29,3195544,total cases
2020/4/29,230727,total deaths
2020/4/29,948517,total recovered
2020/4/30,3279073,total cases
2020/4/30,236716,total deaths
2020/4/30,1013633,total recovered
2020/5/1,3367339,total cases
2020/5/1,241871,total deaths
2020/5/1,1051790,total recovered
2020/5/2,3446630,total cases
2020/5/2,247384,total deaths
2020/5/2,1092441,total recovered
2020/5/3,3523175,total cases
2020/5/3,250868,total deaths
2020/5/3,1124974,total recovered
2020/5/4,3600779,total cases
2020/5/4,254974,total deaths
2020/5/4,1159060,total recovered
2020/5/5,3681127,total cases
2020/5/5,260846,total deaths
2020/5/5,1195533,total recovered
2020/5/6,3771007,total cases
2020/5/6,267394,total deaths
2020/5/6,1241652,total recovered
2020/5/7,3859785,total cases
2020/5/7,272685,total deaths
2020/5/7,1281177,total recovered
2020/5/8,3950120,total cases
2020/5/8,278158,total deaths
2020/5/8,1317590,total recovered
2020/5/9,4034910,total cases
2020/5/9,282439,total deaths
2020/5/9,1371031,total recovered
2020/5/10,4110202,total cases
2020/5/10,286043,total deaths
2020/5/10,1404840,total recovered
2020/5/11,4187133,total cases
2020/5/11,289506,total deaths
2020/5/11,1451725,total recovered
2020/5/12,4271251,total cases
2020/5/12,295031,total deaths
2020/5/12,1488767,total recovered
2020/5/13,4356139,total cases
2020/5/13,300101,total deaths
2020/5/13,1544639,total recovered
2020/5/14,4452527,total cases
2020/5/14,305291,total deaths
2020/5/14,1584350,total recovered
2020/5/15,4548277,total cases
2020/5/15,310409,total deaths
2020/5/15,1632453,total recovered
2020/5/16,4643002,total cases
2020/5/16,314683,total deaths
2020/5/16,1688864,total recovered
2020/5/17,4720844,total cases
2020/5/17,317880,total deaths
2020/5/17,1729872,total recovered
2020/5/18,4809885,total cases
2020/5/18,321581,total deaths
2020/5/18,1782788,total recovered
2020/5/19,4906666,total cases
2020/5/19,326272,total deaths
2020/5/19,1834840,total recovered
